"inquisit.version","computer.platform","startdate","starttime","subjectid","groupid","sessionid","elapsedtime","completed","lstotalearnings","totalearnings","ballooncount","total_explosions","lstotaltrialexplosions","nonexplodedballoons","totalpumpcount","lstotalpumpcount","averagepumpcount","adjustedtotalpumpcount","adjustedaveragepumpcount"
"6.6.1","win","2023-09-07","12:51:05","R_2YRmVJW52hWxXXG","979721831","1","116208","1","/40/60/0/0/25/45/40/60/0/40","310","10","3","/0/0/1/1/0/0/0/0/1/0","7","80","/8/12/8/5/5/9/8/12/5/8","0.00","62","8.8571428571428576504"
"6.6.1","win","2023-09-07","13:51:40","R_1mCt7RINxvPy4NI","979721839","1","85462","1","/90/0/75/0/0/0/0/80/0/65","310","10","6","/0/1/0/1/1/1/1/0/1/0","4","120","/18/13/15/11/6/2/20/16/6/13","0.00","62","15.5"
"6.6.0","win","2023-09-07","12:52:17","R_UfGxrcnqInI3fep","979721843","1","72981","1","/25/25/25/50/25/50/50/25/50/50","375","10","0","/0/0/0/0/0/0/0/0/0/0","10","75","/5/5/5/10/5/10/10/5/10/10","7.50","75","7.5"
"6.6.1","win","2023-09-07","13:51:42","R_3Kq4eG5ZGPzmSay","979721837","1","107348","1","/0/0/30/50/0/0/55/0/0/0","135","10","7","/1/1/0/0/1/1/0/1/1/1","3","102","/14/5/6/10/28/8/11/7/6/7","10.1999999999999992895","27","9"
"6.6.1","win","2023-09-07","13:52:07","R_1pSihpR0gfDMjMD","979721841","1","96815","1","/0/0/25/30/30/30/40/40/30/0","225","10","1","/0/0/0/0/0/0/0/0/0/1","9","49","/0/0/5/6/6/6/8/8/6/4","4.9000000000000003553","45","5"
"6.6.1","win","2023-09-07","13:52:25","R_1GPOSMWccRipkVz","979721840","1","82763","1","/30/35/35/15/30/50/40/50/45/0","330","10","1","/0/0/0/0/0/0/0/0/0/1","9","73","/6/7/7/3/6/10/8/10/9/7","7.2999999999999998224","66","7.3333333333333330373"
"6.6.1","win","2023-09-07","12:52:06","R_2ylWJmvwNrZOSqg","979721842","1","101038","1","/0/0/0/15/15/20/20/25/25/30","150","10","3","/1/1/0/0/0/0/0/0/0/0","7","35","/1/2/2/3/3/4/4/5/5/6","3.50","30","4.2857142857142855874"
"6.6.3","and","2023-09-07","13:53:21","R_10BFbhJxKZnzu2k","979721844","1","105154","1","/25/0/30/35/0/0/40/0/45/0","175","10","5","/0/1/0/0/1/1/0/1/0/0","5","64","/5/3/6/7/6/5/8/6/9/9","6.4000000000000003553","35","7"
"6.6.0","win","2023-09-07","12:53:31","R_2b1ToXjHY48yFod","979721851","1","73119","1","/25/0/0/0/10/15/20/25/20/0","115","10","4","/0/1/1/1/0/0/0/0/0/1","6","43","/5/8/3/3/2/3/4/5/4/6","4.2999999999999998224","23","3.8333333333333334814"
"6.6.1","win","2023-09-07","10:53:36","R_2qw6i9A9bqHL1mn","979721846","1","71694","1","/0/25/25/0/0/25/25/25/25/25","175","10","3","/1/0/0/1/1/0/0/0/0/0","7","39","/2/5/5/1/1/5/5/5/5/5","3.90","35","5"
"6.6.1","win","2023-09-07","13:51:58","R_QbtLE3sM5KdFUn7","979721835","1","186628","1","/75/0/50/120/0/0/0/0/0/0","245","10","7","/0/1/0/0/1/1/1/1/1/1","3","198","/15/7/10/24/27/30/14/22/23/26","19.8000000000000007105","49","16.3333333333333321491"
"6.6.3","and","2023-09-07","12:54:02","R_5BgoKYpntSXdpIJ","979721852","1","65716","1","/0/0/40/0/0/20/30/10/40/0","140","10","5","/0/1/0/1/0/0/0/0/0/1","5","53","/6/1/8/2/5/4/6/2/8/11","5.2999999999999998224","28","5.5999999999999996447"
"6.6.1","win","2023-09-07","12:54:07","R_2WOoMHpj8IaFsDy","979721856","1","68820","1","/0/25/0/0/25/0/25/25/25/25","150","10","4","/1/0/1/1/0/1/0/0/0/0","6","60","/5/5/10/9/5/6/5/5/5/5","0.00","30","5"
"6.6.1","win","2023-09-07","13:54:39","R_3kyRwEiMXUJIzzu","979721863","1","47014","1","/25/0/25/65/0/0/0/65/0/0","180","10","6","/0/1/0/0/1/1/1/0/1/1","4","61","/5/1/5/13/2/3/1/13/1/17","6.0999999999999996447","36","9"
"6.6.1","win","2023-09-07","10:54:25","R_3Pt41j7LWnQEikZ","979721860","1","69656","1","/10/0/15/10/15/20/0/0/10/0","80","10","3","/0/1/0/0/0/0/1/0/0/1","7","24","/2/1/3/2/3/4/4/0/2/3","2.3999999999999999112","16","2.2857142857142855874"
