"inquisit.version","computer.platform","startdate","starttime","subjectid","groupid","sessionid","elapsedtime","completed","exp_condition","releasecondition","weathercondition","maxnr_fishinpond","maxnr_trips","fixedsampling","reward","total_winnings","lstotalearnings","tripcount","successtrip","totalfishingcount","lstotalfishingcount","adj_totalfishingcount","total_suddenends","lstotalend","avg_fishingcount","adjavg_fishingcount","mean_castlatency"
"6.6.1","mac","2023-09-07","12:18:31","R_DVkIL0jxMh8Dvyx","979721712","1","46320","1","1","1","1","32","10","0","5","240","/0/0/60/0/0/55/0/80/45/0","10","4","86","/5/10/12/12/3/11/5/16/9/3","48","6","/1/1/0/1/1/0/1/0/0/1","8.5999999999999996447","12","9152.3333333333339396631"
"6.6.1","win","2023-09-07","13:17:44","R_1Clqfmuo3Ygfq57","979721708","1","98711","1","1","1","1","32","10","0","5","110","/10/15/0/10/0/15/15/20/25/0","10","8","29","/2/3/3/2/0/3/3/4/5/4","22","2","/0/0/1/0/0/0/0/0/0/1","2.8999999999999999112","2.75","12052.75"
"6.6.1","win","2023-09-07","11:21:37","R_2xDItEvOFaopxDX","979721714","1","54989","1","1","1","1","32","10","0","5","200","/25/0/25/25/25/0/25/25/25/25","10","8","50","/5/5/5/5/5/5/5/5/5/5","40","2","/0/1/0/0/0/1/0/0/0/0","5","5","4490.1999999999998181011"
"6.6.3","and","2023-09-07","12:21:42","R_1cYXrNmTNDeJv5F","979721713","1","53664","1","1","1","1","32","10","0","5","135","/5/15/0/10/5/15/15/20/25/25","10","9","31","/1/3/4/2/1/3/3/4/5/5","27","1","/0/0/1/0/0/0/0/0/0/0","3.1000000000000000888","3","4782.1999999999998181011"
"6.6.1","win","2023-09-07","13:25:11","R_3HChIKI6I1npixa","979721715","1","100219","1","1","1","1","32","10","0","5","250","/0/0/0/0/0/0/0/100/0/150","10","2","161","/6/30/2/6/5/7/28/20/27/30","50","8","/1/1/1/1/1/1/1/0/1/0","16.1000000000000014211","25","1459.2000000000000454747"
"6.6.1","mac","2023-09-07","13:27:25","R_31Tt22MFZcP38Tn","979721719","1","80404","1","1","1","1","32","10","0","5","165","/0/0/0/65/0/0/50/50/0/0","10","3","117","/25/13/12/13/17/10/10/10/3/4","33","7","/1/1/1/0/1/1/0/0/1/1","11.6999999999999992895","11","11144.25"
"6.6.1","win","2023-09-07","10:28:00","R_12rNOY0UXct2fP8","979721721","1","66400","1","1","1","1","32","10","0","5","450","/0/120/130/0/105/95/0/0/0/0","10","4","119","/3/24/26/3/21/19/1/3/5/14","90","6","/1/0/0/1/0/0/1/1/1/1","11.9000000000000003553","22.5","1587.7857142857142207504"
"6.6.1","win","2023-09-07","10:28:42","R_4VB2iP48gA5B8Ih","979721722","1","55399","1","1","1","1","32","10","0","5","155","/20/25/25/25/0/0/25/20/0/15","10","7","40","/4/5/5/5/1/5/5/4/3/3","31","3","/0/0/0/0/1/1/0/0/1/0","4","4.4285714285714288252","5563.6666666666669698316"
"6.6.3","and","2023-09-07","12:27:51","R_3RgsdVmilD8tf7I","979721717","1","96869","1","1","1","1","32","10","0","5","215","/0/0/25/50/50/0/0/0/40/50","10","5","75","/2/7/5/10/10/5/11/7/8/10","43","5","/1/1/0/0/0/1/1/1/0/0","7.5","8.5999999999999996447","5091.1999999999998181011"
"6.6.1","win","2023-09-07","11:28:12","R_D0LGkUY8LGA49YR","979721716","1","104551","1","1","1","1","32","10","0","5","540","/0/80/0/75/0/120/0/125/140/0","10","5","144","/3/16/19/15/1/24/1/25/28/12","108","5","/1/0/1/0/1/0/1/0/0/1","14.4000000000000003553","21.6000000000000014211","3825.9166666666665150842"
